antecedent,consequent,support,confidence,lift
{bottled water canned beer}, {root vegetables}, 0.013, 0.325, 1.408
{canned beer root vegetables}, {bottled water}, 0.013, 0.27, 1.265
{canned beer}, {bottled water root vegetables}, 0.013, 0.078, 1.434
{bottled water root vegetables}, {canned beer}, 0.013, 0.237, 1.434
{root vegetables}, {bottled water canned beer}, 0.013, 0.056, 1.408
{bottled water}, {canned beer root vegetables}, 0.013, 0.06, 1.265
{sausage}, {root vegetables}, 0.056, 0.273, 1.183
{root vegetables}, {sausage}, 0.056, 0.244, 1.183
{newspapers}, {root vegetables sausage}, 0.011, 0.075, 1.339
{root vegetables sausage}, {newspapers}, 0.011, 0.187, 1.339
{sausage}, {newspapers root vegetables}, 0.011, 0.051, 1.318
{root vegetables}, {newspapers sausage}, 0.011, 0.046, 1.445
{newspapers sausage}, {root vegetables}, 0.011, 0.333, 1.445
{newspapers root vegetables}, {sausage}, 0.011, 0.272, 1.318
{root vegetables sausage}, {brown bread}, 0.011, 0.192, 1.41
{sausage}, {brown bread root vegetables}, 0.011, 0.052, 1.545
{root vegetables}, {brown bread sausage}, 0.011, 0.047, 1.329
{brown bread}, {root vegetables sausage}, 0.011, 0.079, 1.41
{brown bread sausage}, {root vegetables}, 0.011, 0.307, 1.329
{brown bread root vegetables}, {sausage}, 0.011, 0.318, 1.545
{pastry}, {root vegetables sausage}, 0.011, 0.064, 1.132
{root vegetables sausage}, {pastry}, 0.011, 0.201, 1.132
{sausage}, {pastry root vegetables}, 0.011, 0.055, 1.174
{pastry root vegetables}, {sausage}, 0.011, 0.242, 1.174
{pastry sausage}, {root vegetables}, 0.011, 0.278, 1.207
{root vegetables}, {pastry sausage}, 0.011, 0.049, 1.207
{root vegetables shopping bags}, {sausage}, 0.012, 0.243, 1.181
{shopping bags sausage}, {root vegetables}, 0.012, 0.312, 1.355
{root vegetables sausage}, {shopping bags}, 0.012, 0.205, 1.221
{shopping bags}, {root vegetables sausage}, 0.012, 0.069, 1.221
{sausage}, {root vegetables shopping bags}, 0.012, 0.056, 1.181
{root vegetables}, {shopping bags sausage}, 0.012, 0.05, 1.355
{whipped/sour cream}, {root vegetables sausage}, 0.012, 0.075, 1.328
{whipped/sour cream root vegetables}, {sausage}, 0.012, 0.287, 1.391
{root vegetables sausage}, {whipped/sour cream}, 0.012, 0.205, 1.328
{sausage}, {whipped/sour cream root vegetables}, 0.012, 0.056, 1.391
{root vegetables}, {whipped/sour cream sausage}, 0.012, 0.05, 1.284
{whipped/sour cream sausage}, {root vegetables}, 0.012, 0.296, 1.284
{pip fruit root vegetables}, {sausage}, 0.012, 0.264, 1.283
{pip fruit sausage}, {root vegetables}, 0.012, 0.28, 1.216
{root vegetables sausage}, {pip fruit}, 0.012, 0.21, 1.231
{sausage}, {pip fruit root vegetables}, 0.012, 0.057, 1.283
{root vegetables}, {pip fruit sausage}, 0.012, 0.051, 1.216
{pip fruit}, {root vegetables sausage}, 0.012, 0.069, 1.231
{root vegetables citrus fruit}, {sausage}, 0.012, 0.264, 1.282
{sausage citrus fruit}, {root vegetables}, 0.012, 0.307, 1.332
{root vegetables sausage}, {citrus fruit}, 0.012, 0.215, 1.157
{sausage}, {root vegetables citrus fruit}, 0.012, 0.059, 1.282
{root vegetables}, {sausage citrus fruit}, 0.012, 0.052, 1.332
{citrus fruit}, {root vegetables sausage}, 0.012, 0.065, 1.157
{bottled water sausage}, {root vegetables}, 0.012, 0.25, 1.084
{bottled water root vegetables}, {sausage}, 0.012, 0.227, 1.104
{root vegetables}, {bottled water sausage}, 0.012, 0.053, 1.084
{sausage}, {bottled water root vegetables}, 0.012, 0.06, 1.104
{bottled water}, {root vegetables sausage}, 0.012, 0.058, 1.026
{root vegetables sausage}, {bottled water}, 0.012, 0.219, 1.026
{root vegetables sausage}, {bottled beer}, 0.013, 0.224, 1.409
{sausage}, {bottled beer root vegetables}, 0.013, 0.061, 1.424
{root vegetables}, {bottled beer sausage}, 0.013, 0.055, 1.371
{bottled beer}, {root vegetables sausage}, 0.013, 0.079, 1.409
{bottled beer sausage}, {root vegetables}, 0.013, 0.316, 1.371
{bottled beer root vegetables}, {sausage}, 0.013, 0.293, 1.424
{canned beer sausage}, {root vegetables}, 0.013, 0.338, 1.465
{canned beer root vegetables}, {sausage}, 0.013, 0.27, 1.312
{canned beer}, {root vegetables sausage}, 0.013, 0.078, 1.382
{root vegetables sausage}, {canned beer}, 0.013, 0.228, 1.382
{sausage}, {canned beer root vegetables}, 0.013, 0.062, 1.312
{root vegetables}, {canned beer sausage}, 0.013, 0.056, 1.465
{detergent}, {tropical fruit}, 0.011, 0.331, 1.415
{tropical fruit}, {detergent}, 0.011, 0.046, 1.415
{processed cheese}, {tropical fruit}, 0.011, 0.287, 1.227
{tropical fruit}, {processed cheese}, 0.011, 0.047, 1.227
{semi-finished bread}, {tropical fruit}, 0.012, 0.319, 1.366
{tropical fruit}, {semi-finished bread}, 0.012, 0.049, 1.366
{sliced cheese}, {tropical fruit}, 0.012, 0.223, 0.953
{tropical fruit}, {sliced cheese}, 0.012, 0.049, 0.953
{tropical fruit}, {hygiene articles}, 0.013, 0.054, 1.028
{hygiene articles}, {tropical fruit}, 0.013, 0.24, 1.028
{white wine}, {tropical fruit}, 0.013, 0.285, 1.219
{tropical fruit}, {white wine}, 0.013, 0.054, 1.219
{chewing gum}, {tropical fruit}, 0.013, 0.287, 1.23
{tropical fruit}, {chewing gum}, 0.013, 0.055, 1.23
{flour}, {tropical fruit}, 0.013, 0.352, 1.507
{tropical fruit}, {flour}, 0.013, 0.055, 1.507
{ice cream}, {tropical fruit}, 0.013, 0.232, 0.992
{tropical fruit}, {ice cream}, 0.013, 0.056, 0.992
{tropical fruit}, {cat food}, 0.014, 0.058, 1.326
{cat food}, {tropical fruit}, 0.014, 0.31, 1.326
{tropical fruit}, {specialty bar}, 0.014, 0.06, 1.148
{specialty bar}, {tropical fruit}, 0.014, 0.268, 1.148
{hard cheese}, {tropical fruit}, 0.015, 0.279, 1.193
{tropical fruit}, {hard cheese}, 0.015, 0.064, 1.193
{tropical fruit}, {grapes}, 0.015, 0.065, 1.18
{grapes}, {tropical fruit}, 0.015, 0.276, 1.18
{butter milk}, {tropical fruit}, 0.016, 0.241, 1.032
{tropical fruit}, {butter milk}, 0.016, 0.067, 1.032
{specialty chocolate}, {tropical fruit}, 0.016, 0.268, 1.145
{tropical fruit}, {specialty chocolate}, 0.016, 0.067, 1.145
{candy}, {tropical fruit}, 0.016, 0.3, 1.284
{tropical fruit}, {candy}, 0.016, 0.069, 1.284
{tropical fruit}, {oil}, 0.016, 0.069, 1.242
{oil}, {tropical fruit}, 0.016, 0.29, 1.242
{tropical fruit}, {ham}, 0.016, 0.07, 1.109
{ham}, {tropical fruit}, 0.016, 0.259, 1.109
{salty snack}, {tropical fruit}, 0.016, 0.237, 1.014
{tropical fruit}, {salty snack}, 0.016, 0.07, 1.014
{long life bakery product}, {tropical fruit}, 0.017, 0.259, 1.107
{tropical fruit}, {long life bakery product}, 0.017, 0.072, 1.107
{beverages}, {tropical fruit}, 0.017, 0.277, 1.185
{tropical fruit}, {beverages}, 0.017, 0.074, 1.185
{meat}, {tropical fruit}, 0.017, 0.27, 1.156
{tropical fruit}, {meat}, 0.017, 0.074, 1.156
{tropical fruit}, {sugar}, 0.017, 0.075, 1.132
{sugar}, {tropical fruit}, 0.017, 0.265, 1.132
{frozen meals}, {tropical fruit}, 0.018, 0.282, 1.205
{tropical fruit}, {frozen meals}, 0.018, 0.076, 1.205
{onions}, {tropical fruit}, 0.018, 0.236, 1.008
{tropical fruit}, {onions}, 0.018, 0.077, 1.008
{misc. beverages}, {tropical fruit}, 0.018, 0.309, 1.321
{tropical fruit}, {misc. beverages}, 0.018, 0.078, 1.321
{hamburger meat}, {tropical fruit}, 0.019, 0.236, 1.012
{tropical fruit}, {hamburger meat}, 0.019, 0.081, 1.012
{tropical fruit}, {waffles}, 0.021, 0.09, 1.304
{waffles}, {tropical fruit}, 0.021, 0.305, 1.304
{UHT-milk}, {tropical fruit}, 0.022, 0.275, 1.175
{tropical fruit}, {UHT-milk}, 0.022, 0.092, 1.175
{tropical fruit}, {berries}, 0.022, 0.095, 1.197
{berries}, {tropical fruit}, 0.022, 0.28, 1.197
{napkins}, {tropical fruit}, 0.023, 0.278, 1.188
{tropical fruit}, {napkins}, 0.023, 0.097, 1.188
{white bread}, {tropical fruit}, 0.023, 0.257, 1.101
{tropical fruit}, {white bread}, 0.023, 0.098, 1.101
{tropical fruit}, {dessert}, 0.023, 0.099, 1.143
{dessert}, {tropical fruit}, 0.023, 0.267, 1.143
{frozen vegetables}, {tropical fruit}, 0.023, 0.227, 0.973
{tropical fruit}, {frozen vegetables}, 0.023, 0.1, 0.973
{tropical fruit}, {chocolate}, 0.024, 0.104, 1.206
{chocolate}, {tropical fruit}, 0.024, 0.282, 1.206
{cream cheese}, {tropical fruit}, 0.025, 0.278, 1.191
{tropical fruit}, {cream cheese}, 0.025, 0.105, 1.191
{chicken}, {tropical fruit}, 0.025, 0.247, 1.059
{tropical fruit}, {chicken}, 0.025, 0.106, 1.059
{margarine}, {tropical fruit}, 0.025, 0.217, 0.929
{tropical fruit}, {margarine}, 0.025, 0.109, 0.929
{beef}, {tropical fruit}, 0.028, 0.238, 1.019
{tropical fruit}, {beef}, 0.028, 0.122, 1.019
{butter}, {tropical fruit}, 0.031, 0.245, 1.05
{tropical fruit}, {butter}, 0.031, 0.133, 1.05
{coffee}, {tropical fruit}, 0.033, 0.283, 1.213
{tropical fruit}, {coffee}, 0.033, 0.139, 1.213
{fruit/vegetable juice}, {tropical fruit}, 0.033, 0.265, 1.133
{tropical fruit}, {fruit/vegetable juice}, 0.033, 0.142, 1.133
{frankfurter}, {tropical fruit}, 0.034, 0.246, 1.054
{tropical fruit}, {frankfurter}, 0.034, 0.145, 1.054
{tropical fruit}, {domestic eggs}, 0.034, 0.147, 1.105
{domestic eggs}, {tropical fruit}, 0.034, 0.258, 1.105
{brown bread}, {tropical fruit}, 0.035, 0.255, 1.09
{tropical fruit}, {brown bread}, 0.035, 0.148, 1.09
{tropical fruit}, {pork}, 0.036, 0.155, 1.169
{pork}, {tropical fruit}, 0.036, 0.273, 1.169
{curd}, {tropical fruit}, 0.036, 0.301, 1.29
{tropical fruit}, {curd}, 0.036, 0.156, 1.29
{newspapers}, {tropical fruit}, 0.037, 0.264, 1.131
{tropical fruit}, {newspapers}, 0.037, 0.158, 1.131
{whipped/sour cream}, {tropical fruit}, 0.042, 0.27, 1.157
{tropical fruit}, {whipped/sour cream}, 0.042, 0.179, 1.157
{canned beer}, {tropical fruit}, 0.042, 0.256, 1.096
{tropical fruit}, {canned beer}, 0.042, 0.181, 1.096
{bottled beer}, {tropical fruit}, 0.043, 0.27, 1.154
{tropical fruit}, {bottled beer}, 0.043, 0.183, 1.154
{whipped/sour cream}, {tropical fruit bottled beer}, 0.01, 0.065, 1.51
{whipped/sour cream tropical fruit}, {bottled beer}, 0.01, 0.239, 1.507
{whipped/sour cream bottled beer}, {tropical fruit}, 0.01, 0.342, 1.464
{tropical fruit}, {whipped/sour cream bottled beer}, 0.01, 0.043, 1.464
{tropical fruit bottled beer}, {whipped/sour cream}, 0.01, 0.234, 1.51
{bottled beer}, {whipped/sour cream tropical fruit}, 0.01, 0.063, 1.507
{pip fruit}, {tropical fruit}, 0.044, 0.256, 1.094
{tropical fruit}, {pip fruit}, 0.044, 0.187, 1.094
{tropical fruit}, {pip fruit bottled beer}, 0.01, 0.044, 1.317
{pip fruit}, {tropical fruit bottled beer}, 0.01, 0.06, 1.404
{tropical fruit pip fruit}, {bottled beer}, 0.01, 0.235, 1.482
{tropical fruit bottled beer}, {pip fruit}, 0.01, 0.24, 1.404
{bottled beer}, {tropical fruit pip fruit}, 0.01, 0.065, 1.482
{pip fruit bottled beer}, {tropical fruit}, 0.01, 0.308, 1.317
{tropical fruit}, {shopping bags}, 0.045, 0.191, 1.135
{shopping bags}, {tropical fruit}, 0.045, 0.265, 1.135
{tropical fruit}, {pip fruit shopping bags}, 0.01, 0.043, 1.346
{tropical fruit shopping bags}, {pip fruit}, 0.01, 0.224, 1.314
{shopping bags}, {tropical fruit pip fruit}, 0.01, 0.059, 1.363
{pip fruit shopping bags}, {tropical fruit}, 0.01, 0.315, 1.346
{pip fruit}, {tropical fruit shopping bags}, 0.01, 0.059, 1.314
{tropical fruit pip fruit}, {shopping bags}, 0.01, 0.229, 1.363
{canned beer shopping bags}, {tropical fruit}, 0.011, 0.313, 1.339
{tropical fruit canned beer}, {shopping bags}, 0.011, 0.248, 1.477
{canned beer}, {tropical fruit shopping bags}, 0.011, 0.064, 1.426
{tropical fruit shopping bags}, {canned beer}, 0.011, 0.236, 1.426
{tropical fruit}, {canned beer shopping bags}, 0.011, 0.045, 1.339
{shopping bags}, {tropical fruit canned beer}, 0.011, 0.062, 1.477
{brown bread shopping bags}, {tropical fruit}, 0.011, 0.347, 1.485
{tropical fruit}, {brown bread shopping bags}, 0.011, 0.046, 1.485
{tropical fruit shopping bags}, {brown bread}, 0.011, 0.241, 1.775
{shopping bags}, {tropical fruit brown bread}, 0.011, 0.064, 1.849
{brown bread}, {tropical fruit shopping bags}, 0.011, 0.079, 1.775
{tropical fruit brown bread}, {shopping bags}, 0.011, 0.311, 1.849
{tropical fruit}, {pastry}, 0.046, 0.198, 1.113
{pastry}, {tropical fruit}, 0.046, 0.26, 1.113
{pastry}, {tropical fruit pip fruit}, 0.01, 0.056, 1.292
{pastry tropical fruit}, {pip fruit}, 0.01, 0.217, 1.27
{pastry pip fruit}, {tropical fruit}, 0.01, 0.244, 1.043
{tropical fruit}, {pastry pip fruit}, 0.01, 0.043, 1.043
{pip fruit}, {pastry tropical fruit}, 0.01, 0.059, 1.27
{tropical fruit pip fruit}, {pastry}, 0.01, 0.229, 1.292
{pastry}, {tropical fruit bottled beer}, 0.011, 0.061, 1.417
{pastry bottled beer}, {tropical fruit}, 0.011, 0.321, 1.372
{pastry tropical fruit}, {bottled beer}, 0.011, 0.233, 1.469
{tropical fruit}, {pastry bottled beer}, 0.011, 0.046, 1.372
{tropical fruit bottled beer}, {pastry}, 0.011, 0.251, 1.417
{bottled beer}, {pastry tropical fruit}, 0.011, 0.068, 1.469
{citrus fruit}, {tropical fruit}, 0.046, 0.25, 1.071
{tropical fruit}, {citrus fruit}, 0.046, 0.199, 1.071
{pastry}, {tropical fruit citrus fruit}, 0.011, 0.061, 1.307
{pastry tropical fruit}, {citrus fruit}, 0.011, 0.233, 1.258
{tropical fruit}, {pastry citrus fruit}, 0.011, 0.046, 1.239
{tropical fruit citrus fruit}, {pastry}, 0.011, 0.232, 1.307
{citrus fruit}, {pastry tropical fruit}, 0.011, 0.058, 1.258
{pastry citrus fruit}, {tropical fruit}, 0.011, 0.29, 1.239
{tropical fruit}, {sausage}, 0.055, 0.234, 1.135
{sausage}, {tropical fruit}, 0.055, 0.265, 1.135
{tropical fruit newspapers}, {sausage}, 0.01, 0.271, 1.315
{newspapers}, {tropical fruit sausage}, 0.01, 0.072, 1.31
{tropical fruit}, {newspapers sausage}, 0.01, 0.043, 1.357
{tropical fruit sausage}, {newspapers}, 0.01, 0.183, 1.31
{sausage}, {tropical fruit newspapers}, 0.01, 0.049, 1.315
{newspapers sausage}, {tropical fruit}, 0.01, 0.317, 1.357
{canned beer sausage}, {tropical fruit}, 0.01, 0.27, 1.156
{canned beer}, {tropical fruit sausage}, 0.01, 0.062, 1.137
{tropical fruit}, {canned beer sausage}, 0.01, 0.044, 1.156
{tropical fruit canned beer}, {sausage}, 0.01, 0.242, 1.177
{tropical fruit sausage}, {canned beer}, 0.01, 0.188, 1.137
{sausage}, {tropical fruit canned beer}, 0.01, 0.05, 1.177
{sausage citrus fruit}, {tropical fruit}, 0.01, 0.261, 1.119
{tropical fruit}, {sausage citrus fruit}, 0.01, 0.044, 1.119
{tropical fruit sausage}, {citrus fruit}, 0.01, 0.188, 1.012
{sausage}, {tropical fruit citrus fruit}, 0.01, 0.05, 1.073
{citrus fruit}, {tropical fruit sausage}, 0.01, 0.055, 1.012
{tropical fruit citrus fruit}, {sausage}, 0.01, 0.221, 1.073
{tropical fruit}, {brown bread sausage}, 0.011, 0.047, 1.343
{tropical fruit sausage}, {brown bread}, 0.011, 0.202, 1.485
{sausage}, {tropical fruit brown bread}, 0.011, 0.054, 1.546
{brown bread}, {tropical fruit sausage}, 0.011, 0.081, 1.485
{brown bread sausage}, {tropical fruit}, 0.011, 0.314, 1.343
{tropical fruit brown bread}, {sausage}, 0.011, 0.319, 1.546
{tropical fruit}, {bottled beer sausage}, 0.011, 0.048, 1.215
{tropical fruit sausage}, {bottled beer}, 0.011, 0.207, 1.301
{sausage}, {tropical fruit bottled beer}, 0.011, 0.055, 1.279
{tropical fruit bottled beer}, {sausage}, 0.011, 0.263, 1.279
{bottled beer}, {tropical fruit sausage}, 0.011, 0.071, 1.301
{bottled beer sausage}, {tropical fruit}, 0.011, 0.284, 1.215
{pip fruit sausage}, {tropical fruit}, 0.012, 0.287, 1.226
{tropical fruit}, {pip fruit sausage}, 0.012, 0.052, 1.226
{tropical fruit sausage}, {pip fruit}, 0.012, 0.221, 1.293
{sausage}, {tropical fruit pip fruit}, 0.012, 0.059, 1.342
{tropical fruit pip fruit}, {sausage}, 0.012, 0.276, 1.342
{pip fruit}, {tropical fruit sausage}, 0.012, 0.071, 1.293
{shopping bags sausage}, {tropical fruit}, 0.012, 0.326, 1.397
{tropical fruit}, {shopping bags sausage}, 0.012, 0.052, 1.397
{tropical fruit shopping bags}, {sausage}, 0.012, 0.27, 1.311
{tropical fruit sausage}, {shopping bags}, 0.012, 0.221, 1.311
{shopping bags}, {tropical fruit sausage}, 0.012, 0.072, 1.311
{sausage}, {tropical fruit shopping bags}, 0.012, 0.059, 1.311
{whipped/sour cream}, {tropical fruit sausage}, 0.012, 0.078, 1.426
{whipped/sour cream tropical fruit}, {sausage}, 0.012, 0.288, 1.4
{tropical fruit}, {whipped/sour cream sausage}, 0.012, 0.052, 1.323
{sausage}, {whipped/sour cream tropical fruit}, 0.012, 0.059, 1.4
{tropical fruit sausage}, {whipped/sour cream}, 0.012, 0.221, 1.426
{whipped/sour cream sausage}, {tropical fruit}, 0.012, 0.309, 1.323
{tropical fruit}, {bottled water}, 0.056, 0.241, 1.13
{bottled water}, {tropical fruit}, 0.056, 0.264, 1.13
{bottled water curd}, {tropical fruit}, 0.01, 0.302, 1.294
{tropical fruit}, {bottled water curd}, 0.01, 0.043, 1.294
{tropical fruit bottled water}, {curd}, 0.01, 0.177, 1.467
{bottled water}, {tropical fruit curd}, 0.01, 0.047, 1.285
{curd}, {tropical fruit bottled water}, 0.01, 0.083, 1.467
{tropical fruit curd}, {bottled water}, 0.01, 0.275, 1.285
{bottled water frankfurter}, {tropical fruit}, 0.01, 0.265, 1.135
{tropical fruit}, {bottled water frankfurter}, 0.01, 0.043, 1.135
{tropical fruit bottled water}, {frankfurter}, 0.01, 0.177, 1.289
{bottled water}, {tropical fruit frankfurter}, 0.01, 0.047, 1.383
{tropical fruit frankfurter}, {bottled water}, 0.01, 0.295, 1.383
{frankfurter}, {tropical fruit bottled water}, 0.01, 0.073, 1.289
{bottled water citrus fruit}, {tropical fruit}, 0.01, 0.227, 0.972
{tropical fruit}, {bottled water citrus fruit}, 0.01, 0.044, 0.972
{tropical fruit bottled water}, {citrus fruit}, 0.01, 0.182, 0.98
{bottled water}, {tropical fruit citrus fruit}, 0.01, 0.048, 1.034
{citrus fruit}, {tropical fruit bottled water}, 0.01, 0.055, 0.98
{tropical fruit citrus fruit}, {bottled water}, 0.01, 0.221, 1.034
{bottled water canned beer}, {tropical fruit}, 0.011, 0.273, 1.167
{canned beer}, {tropical fruit bottled water}, 0.011, 0.065, 1.156
{tropical fruit}, {bottled water canned beer}, 0.011, 0.046, 1.167
{tropical fruit canned beer}, {bottled water}, 0.011, 0.255, 1.191
{tropical fruit bottled water}, {canned beer}, 0.011, 0.191, 1.156
{bottled water}, {tropical fruit canned beer}, 0.011, 0.05, 1.191
{tropical fruit}, {bottled water bottled beer}, 0.012, 0.049, 1.226
{tropical fruit bottled water}, {bottled beer}, 0.012, 0.205, 1.288
{bottled water}, {tropical fruit bottled beer}, 0.012, 0.054, 1.261
{tropical fruit bottled beer}, {bottled water}, 0.012, 0.269, 1.261
{bottled beer}, {tropical fruit bottled water}, 0.012, 0.073, 1.288
{bottled water bottled beer}, {tropical fruit}, 0.012, 0.287, 1.226
{bottled water shopping bags}, {tropical fruit}, 0.012, 0.28, 1.2
{tropical fruit}, {bottled water shopping bags}, 0.012, 0.05, 1.2
{tropical fruit shopping bags}, {bottled water}, 0.012, 0.264, 1.237
{tropical fruit bottled water}, {shopping bags}, 0.012, 0.209, 1.242
{shopping bags}, {tropical fruit bottled water}, 0.012, 0.07, 1.242
{bottled water}, {tropical fruit shopping bags}, 0.012, 0.055, 1.237
{whipped/sour cream}, {tropical fruit bottled water}, 0.012, 0.076, 1.352
{whipped/sour cream tropical fruit}, {bottled water}, 0.012, 0.282, 1.321
{tropical fruit}, {whipped/sour cream bottled water}, 0.012, 0.05, 1.426
{bottled water}, {whipped/sour cream tropical fruit}, 0.012, 0.055, 1.321
{tropical fruit bottled water}, {whipped/sour cream}, 0.012, 0.209, 1.352
{whipped/sour cream bottled water}, {tropical fruit}, 0.012, 0.333, 1.426
{bottled water pip fruit}, {tropical fruit}, 0.013, 0.31, 1.327
{tropical fruit}, {bottled water pip fruit}, 0.013, 0.054, 1.327
{tropical fruit bottled water}, {pip fruit}, 0.013, 0.223, 1.306
{bottled water}, {tropical fruit pip fruit}, 0.013, 0.059, 1.349
{tropical fruit pip fruit}, {bottled water}, 0.013, 0.288, 1.349
{pip fruit}, {tropical fruit bottled water}, 0.013, 0.074, 1.306
{pastry tropical fruit}, {bottled water}, 0.013, 0.278, 1.3
{pastry}, {tropical fruit bottled water}, 0.013, 0.072, 1.28
{tropical fruit}, {pastry bottled water}, 0.013, 0.055, 1.258
{bottled water}, {pastry tropical fruit}, 0.013, 0.06, 1.3
{pastry bottled water}, {tropical fruit}, 0.013, 0.294, 1.258
{tropical fruit bottled water}, {pastry}, 0.013, 0.227, 1.28
{tropical fruit}, {bottled water sausage}, 0.015, 0.065, 1.315
{bottled water sausage}, {tropical fruit}, 0.015, 0.307, 1.315
{tropical fruit bottled water}, {sausage}, 0.015, 0.268, 1.302
{tropical fruit sausage}, {bottled water}, 0.015, 0.277, 1.296
{sausage}, {tropical fruit bottled water}, 0.015, 0.073, 1.302
{bottled water}, {tropical fruit sausage}, 0.015, 0.071, 1.296
{tropical fruit}, {root vegetables}, 0.057, 0.246, 1.066
{root vegetables}, {tropical fruit}, 0.057, 0.249, 1.066
{tropical fruit}, {brown bread root vegetables}, 0.011, 0.045, 1.329
{tropical fruit root vegetables}, {brown bread}, 0.011, 0.183, 1.346
{root vegetables}, {tropical fruit brown bread}, 0.011, 0.046, 1.317
{brown bread}, {tropical fruit root vegetables}, 0.011, 0.077, 1.346
{brown bread root vegetables}, {tropical fruit}, 0.011, 0.311, 1.329
{tropical fruit brown bread}, {root vegetables}, 0.011, 0.304, 1.317
{canned beer root vegetables}, {tropical fruit}, 0.011, 0.222, 0.948
{canned beer}, {tropical fruit root vegetables}, 0.011, 0.064, 1.108
{tropical fruit}, {canned beer root vegetables}, 0.011, 0.045, 0.948
{tropical fruit canned beer}, {root vegetables}, 0.011, 0.248, 1.077
{tropical fruit root vegetables}, {canned beer}, 0.011, 0.183, 1.108
{root vegetables}, {tropical fruit canned beer}, 0.011, 0.046, 1.077
{root vegetables frankfurter}, {tropical fruit}, 0.011, 0.27, 1.154
{tropical fruit}, {root vegetables frankfurter}, 0.011, 0.045, 1.154
{tropical fruit root vegetables}, {frankfurter}, 0.011, 0.183, 1.331
{root vegetables}, {tropical fruit frankfurter}, 0.011, 0.046, 1.347
{tropical fruit frankfurter}, {root vegetables}, 0.011, 0.311, 1.347
{frankfurter}, {tropical fruit root vegetables}, 0.011, 0.076, 1.331
{curd root vegetables}, {tropical fruit}, 0.011, 0.359, 1.536
{tropical fruit}, {curd root vegetables}, 0.011, 0.046, 1.536
{tropical fruit root vegetables}, {curd}, 0.011, 0.188, 1.552
{root vegetables}, {tropical fruit curd}, 0.011, 0.047, 1.282
{curd}, {tropical fruit root vegetables}, 0.011, 0.089, 1.552
{tropical fruit curd}, {root vegetables}, 0.011, 0.296, 1.282
{root vegetables citrus fruit}, {tropical fruit}, 0.011, 0.242, 1.034
{tropical fruit}, {root vegetables citrus fruit}, 0.011, 0.047, 1.034
{tropical fruit root vegetables}, {citrus fruit}, 0.011, 0.192, 1.035
{root vegetables}, {tropical fruit citrus fruit}, 0.011, 0.048, 1.03
{citrus fruit}, {tropical fruit root vegetables}, 0.011, 0.059, 1.035
{tropical fruit citrus fruit}, {root vegetables}, 0.011, 0.238, 1.03
{tropical fruit}, {bottled beer root vegetables}, 0.011, 0.048, 1.127
{tropical fruit root vegetables}, {bottled beer}, 0.011, 0.196, 1.237
{root vegetables}, {tropical fruit bottled beer}, 0.011, 0.049, 1.142
{tropical fruit bottled beer}, {root vegetables}, 0.011, 0.263, 1.142
{bottled beer}, {tropical fruit root vegetables}, 0.011, 0.071, 1.237
{bottled beer root vegetables}, {tropical fruit}, 0.011, 0.263, 1.127
{tropical fruit newspapers}, {root vegetables}, 0.011, 0.306, 1.325
{newspapers}, {tropical fruit root vegetables}, 0.011, 0.081, 1.405
{tropical fruit}, {newspapers root vegetables}, 0.011, 0.048, 1.247
{tropical fruit root vegetables}, {newspapers}, 0.011, 0.196, 1.405
{root vegetables}, {tropical fruit newspapers}, 0.011, 0.049, 1.325
{newspapers root vegetables}, {tropical fruit}, 0.011, 0.291, 1.247
{pastry tropical fruit}, {root vegetables}, 0.012, 0.256, 1.108
{pastry}, {tropical fruit root vegetables}, 0.012, 0.066, 1.157
{tropical fruit}, {pastry root vegetables}, 0.012, 0.05, 1.081
{root vegetables}, {pastry tropical fruit}, 0.012, 0.051, 1.108
{pastry root vegetables}, {tropical fruit}, 0.012, 0.253, 1.081
{tropical fruit root vegetables}, {pastry}, 0.012, 0.205, 1.157
{whipped/sour cream}, {tropical fruit root vegetables}, 0.012, 0.076, 1.327
{whipped/sour cream tropical fruit}, {root vegetables}, 0.012, 0.282, 1.224
{tropical fruit}, {whipped/sour cream root vegetables}, 0.012, 0.05, 1.254
{root vegetables}, {whipped/sour cream tropical fruit}, 0.012, 0.051, 1.224
{tropical fruit root vegetables}, {whipped/sour cream}, 0.012, 0.205, 1.327
{whipped/sour cream root vegetables}, {tropical fruit}, 0.012, 0.293, 1.254
{root vegetables shopping bags}, {tropical fruit}, 0.013, 0.27, 1.156
{tropical fruit}, {root vegetables shopping bags}, 0.013, 0.055, 1.156
{tropical fruit shopping bags}, {root vegetables}, 0.013, 0.287, 1.246
{tropical fruit root vegetables}, {shopping bags}, 0.013, 0.223, 1.326
{shopping bags}, {tropical fruit root vegetables}, 0.013, 0.076, 1.326
{root vegetables}, {tropical fruit shopping bags}, 0.013, 0.056, 1.246
{pip fruit root vegetables}, {tropical fruit}, 0.013, 0.299, 1.279
{tropical fruit}, {pip fruit root vegetables}, 0.013, 0.057, 1.279
{tropical fruit root vegetables}, {pip fruit}, 0.013, 0.232, 1.361
{root vegetables}, {tropical fruit pip fruit}, 0.013, 0.058, 1.326
{tropical fruit pip fruit}, {root vegetables}, 0.013, 0.306, 1.326
{pip fruit}, {tropical fruit root vegetables}, 0.013, 0.078, 1.361
{tropical fruit}, {bottled water root vegetables}, 0.014, 0.061, 1.136
{bottled water root vegetables}, {tropical fruit}, 0.014, 0.265, 1.136
